00:36:49.114 [Nacos-Watch-Task-Scheduler-1] INFO  c.a.n.client.naming - [isChangedServiceInfo,181] - init new ips(1) service: DEFAULT_GROUP@@park-vehicle -> [{"ip":"192.168.0.103","port":9206,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@park-vehicle","metadata":{"preserved.register.source":"SPRING_CLOUD"},"ipDeleteTimeout":30000,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000}]
00:36:49.146 [Nacos-Watch-Task-Scheduler-1] INFO  c.a.n.client.naming - [processServiceInfo,166] - current ips:(1) service: DEFAULT_GROUP@@park-vehicle -> [{"ip":"192.168.0.103","port":9206,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@park-vehicle","metadata":{"preserved.register.source":"SPRING_CLOUD"},"ipDeleteTimeout":30000,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000}]
00:36:49.690 [nacos-grpc-client-executor-1583] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [df4d72f1-7197-49ef-b041-506664c7507d]receive server push request,request=NotifySubscriberRequest,requestId=27
00:36:49.697 [nacos-grpc-client-executor-1583] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [df4d72f1-7197-49ef-b041-506664c7507d]ack server push request,request=NotifySubscriberRequest,requestId=27
10:03:31.984 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,67] - LOCAL_SNAPSHOT_PATH:C:\Users\lujiaxin\nacos\config
10:03:31.988 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 4b9e78b3-ca6f-451c-89d4-3093f8741c65_config-0
10:03:32.041 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 38 ms to scan 1 urls, producing 3 keys and 6 values 
10:03:32.074 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 19 ms to scan 1 urls, producing 4 keys and 9 values 
10:03:32.086 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 3 keys and 10 values 
10:03:32.223 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 133 ms to scan 146 urls, producing 0 keys and 0 values 
10:03:32.241 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 17 ms to scan 1 urls, producing 1 keys and 5 values 
10:03:32.253 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 1 keys and 7 values 
10:03:32.264 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 2 keys and 8 values 
10:03:32.362 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 95 ms to scan 146 urls, producing 0 keys and 0 values 
10:03:32.363 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4b9e78b3-ca6f-451c-89d4-3093f8741c65_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
10:03:32.364 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4b9e78b3-ca6f-451c-89d4-3093f8741c65_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$320/1114335860
10:03:32.364 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4b9e78b3-ca6f-451c-89d4-3093f8741c65_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$321/80026551
10:03:32.365 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4b9e78b3-ca6f-451c-89d4-3093f8741c65_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
10:03:32.366 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4b9e78b3-ca6f-451c-89d4-3093f8741c65_config-0]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
10:03:32.372 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4b9e78b3-ca6f-451c-89d4-3093f8741c65_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
10:03:33.476 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4b9e78b3-ca6f-451c-89d4-3093f8741c65_config-0] Success to connect to server [127.0.0.1:8848] on start up,connectionId=1664244213267_127.0.0.1_50516
10:03:33.478 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4b9e78b3-ca6f-451c-89d4-3093f8741c65_config-0]Notify connected event to listeners.
10:03:33.479 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.c.i.ClientWorker - [onConnected,681] - [4b9e78b3-ca6f-451c-89d4-3093f8741c65_config-0] Connected,notify listen context...
10:03:33.479 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4b9e78b3-ca6f-451c-89d4-3093f8741c65_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:03:33.481 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4b9e78b3-ca6f-451c-89d4-3093f8741c65_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
